number,text
marginalnote 216,Elevation of Licinius to the rank of Auguſtus;
marginalnote 217,A. D. 307. Nov. 11.
marginalnote 218,and of Maximin.
marginalnote 219,Six emperors. A. D. 308.
marginalnote 220,Misfortunes of Maximian.
marginalnote 221,His death. A. D. 310. February.
marginalnote 222,Death of Galerius. A. D. 311. May.
marginalnote 223,His dominion ſhared between Maximin and Licinius.
marginalnote 224,Adminiſtration of Conſtantine in Gaul. A. D. 306—312.
marginalnote 225,Tyranny of Maxentius in Italy and Africa. A. D. 306—312.
marginalnote 226,Civil war between Conſtantine and Maxentius. A. D. 312.
marginalnote 227,Preparations.
marginalnote 228,Conſtantine paſſes the Alps.
marginalnote 229,Battle of Turin.
marginalnote 230,Siege and battle of Verona.
marginalnote 231,Indolence and fears of Maxentius.
marginalnote 232,Victory of Conſtantine near Rome. A. D. 312. 28th Oct.
marginalnote 233,"His reception,"
marginalnote 234,and conduct at Rome.
marginalnote 235,His alliance with Licinius. A. D. 313. March.
marginalnote 236,War between Maximin and Licinius. A. D. 313.
marginalnote 237,"The defeat, April 30,"
marginalnote 238,and death of the former.Auguſt.
marginalnote 239,Cruelty of Licinius.
marginalnote 240,Unfortunate fate of the empreſs Valeria and her mother.
marginalnote 241,Quarrel between Conſtantine and Licinius. A. D. 314.
marginalnote 242,Firſt civil war between them.
marginalnote 243,Battle of Cibalis. A. D. 315. 8th Oct.
marginalnote 244,Battle of Mardia.
marginalnote 245,Treaty of peace.December.
marginalnote 246,General peace and laws of Conſtantine. A. D. 315—323.
marginalnote 247,The Gothic war.
marginalnote 248,A. D. 322.
marginalnote 249,Second civil war between Conſtantine and Licinius. A. D. 323.
marginalnote 250,Battle of Hadrianople. A. D. 323. July 3.
marginalnote 251,"Siege of Byzantium, and naval victory of Criſpus."
marginalnote 252,Battle of Chryſopolis.
marginalnote 253,Submiſſion and death of Licinius.
marginalnote 254,Re-union of the empire. A. D. 324.
marginalnote 255,Importance of the inquiry.
marginalnote 256,Its difficulties.
marginalnote 257,Five cauſes of the growth of Chriſtianity.
marginalnote 258,THE FIRST CAUSE. Zeal of the Jews.
marginalnote 259,Its gradual increaſe.
marginalnote 260,Their religion better ſuited to defence than to conqueſt.
marginalnote 261,More liberal zeal of Chriſtianity.
marginalnote 262,Obſtinacy and reaſons of the believing Jews.
marginalnote 263,The Nazarene church of Jeruſalem.
marginalnote 264,The Ebionites.
marginalnote 265,The Gnoſtics.
marginalnote 266,"Their ſects, progreſs, and influence."
marginalnote 267,The daemons conſidered as the gods of antiquity.
marginalnote 268,Abhorrence of the Chriſtians for idolatry.
marginalnote 269,Ceremonies.
marginalnote 270,Arts.
marginalnote 271,Feſtivals.
marginalnote 272,Zeal for Chriſtianity.
marginalnote 273,THE SECOND CAUSE. The doctrine of the immortality of the ſoul among the philoſophers;
marginalnote 274,among the Pagans of Greece and Rome;
marginalnote 275,among the barbarians;
marginalnote 276,among the Jews;
marginalnote 277,among the Chriſtians.
marginalnote 278,Approaching end of the world.
marginalnote 279,Doctrine of the Millennium.
marginalnote 280,Conflagration of Rome and of the world.
marginalnote 281,The Pagans devoted to eternal puniſhment.
marginalnote 282,Were often converted by their fears.
marginalnote 283,THE THIRD CAUSE. Miraculous powers of the primitive church.
marginalnote 284,Their truth conteſted.
marginalnote 285,Our perplexity in defining the miraculous period.
marginalnote 286,Uſe of the primitive miracles.
marginalnote 287,THE FOURTH CAUSE. Virtues of the firſt Chriſtians.
marginalnote 288,Effects of their repentance.
marginalnote 289,Care of their reputation.
marginalnote 290,Morality of the fathers.
marginalnote 291,Principles of human nature.
marginalnote 292,The primitive Chriſtians condemn pleaſure and luxury.
marginalnote 293,Their ſentiments concerning marriage and chaſtity.
marginalnote 294,Their averſion to the buſineſs of war and government.
marginalnote 295,THE FIFTH CAUSE. The Chriſtians active in the government of the church.
marginalnote 296,Its primitive freedom and equality.
marginalnote 297,Inſtitution of biſhops as preſidents of the college of preſbyters.
marginalnote 298,Provincial councils.
marginalnote 299,Union of the church.
marginalnote 300,Progreſs of epiſcopal authority.
marginalnote 301,Pre-eminence of the metropolitan churches.
marginalnote 302,Ambition of the Roman pontiff.
marginalnote 303,Laity and clergy.
marginalnote 304,Oblations and revenue of the church.
marginalnote 305,Diſtribution of the revenue.
marginalnote 306,Excommunication.
marginalnote 307,Public penance.
marginalnote 308,The dignity of epiſcopal government.
marginalnote 309,Recapitulation of the five cauſes.
marginalnote 310,Weakneſs of polytheiſm.
marginalnote 311,"The ſcepticiſm of the Pagan world proved favourable to the new religion,"
marginalnote 312,as well as the peace and union of the Roman empire.
marginalnote 313,Hiſtorical view of the progreſs of Chriſtianity
marginalnote 314,in the Eaſt.
marginalnote 315,The church of Antioch.
marginalnote 316,In Egypt.
marginalnote 317,In Rome.
marginalnote 318,In Africa and the weſtern provinces.
marginalnote 319,Beyond the limits of the Roman empire.
marginalnote 320,General proportion of Chriſtians and Pagans.
marginalnote 321,Whether the firſt Chriſtians were mean and ignorant.
marginalnote 322,Some exceptions with regard to learning;
marginalnote 323,with regard to rank and fortune.
marginalnote 324,Chriſtianity moſt favourably received by the poor and ſimple.
marginalnote 325,Rejected by ſome eminent men of the firſt and ſecond centuries.
marginalnote 326,Their neglect of prophecy
marginalnote 327,and of miracles.
marginalnote 328,General ſilence concerning the darkneſs of the Paſſion.
marginalnote 329,Chriſtianity perſecuted by the Roman emperors.
marginalnote 330,Inquiry into their motives.
marginalnote 331,Rebellious ſpirit of the Jews.
marginalnote 332,Toleration of the Jewiſh religion.
marginalnote 333,"The Jews were a people which followed, the Chriſtians a ſect which deſerted, the religion of their fathers."
marginalnote 334,"Chriſtianity accuſed of atheiſm, and miſtaken by the people and philoſophers."
marginalnote 335,The union and aſſemblies of the Chriſtians conſidered as a dangerous conſpiracy.
marginalnote 336,Their manners calumniated.
marginalnote 337,Their imprudent defence.
marginalnote 338,Idea of the conduct of the emperors towards the Chriſtians.
marginalnote 339,They neglected the Chriſtians as a ſect of Jews.
marginalnote 340,The fire of Rome under the reign of Nero.
marginalnote 341,"Cruel puniſhment of the Chriſtians, as the incendiaries of the city."
marginalnote 342,Remarks on the paſſage of Tacitus relative to the perſecution of the Chriſtians by Nero.
marginalnote 343,Oppreſſion of the Jews and Chriſtians by Domitian.
marginalnote 344,Execution of Clemens the conſul.
marginalnote 345,Ignorance of Pliny concerning the Chriſtians.
marginalnote 346,Trajan and his ſucceſſors eſtabliſh a legal mode of proceeding againſt them.
marginalnote 347,Popular clamours.
marginalnote 348,Trials of the Chriſtians.
marginalnote 349,Humanity of the Roman magiſtrates.
marginalnote 350,Inconſiderable number of martyrs.
marginalnote 351,Example of Cyprian biſhop of Carthage.
marginalnote 352,His danger and flight.
marginalnote 353,A. D. 257. His baniſhment.
marginalnote 354,His condemnation.
marginalnote 355,His martyrdom.
marginalnote 356,Various incitements to martyrdom.
marginalnote 357,Ardour of the firſt Chriſtians.
marginalnote 358,Gradual relaxation.
marginalnote 359,Three methods of eſcaping martyrdom.
marginalnote 360,Alternatives of ſeverity and toleration.
marginalnote 361,The ten perſecutions.
marginalnote 362,Suppoſed edicts of Tiberius and Marcus Antoninus.
marginalnote 363,State of the Chriſtians in the reigns of Commodus and Severus. A. D. 180.
marginalnote 364,A. D. 198.
marginalnote 365,Of the ſucceſſors of Severus.
marginalnote 366,A. D. 211—249.
marginalnote 367,A. D. 235.
marginalnote 368,"Of Maximin, Philip, and Decius."
marginalnote 369,A. D. 244.
marginalnote 370,A. D. 249.
marginalnote 371,"Of Valerian, Gallienus, and his ſucceſſors."
marginalnote 372,A. D. 253—260.
marginalnote 373,"Paul of Samoſata, his manners."
marginalnote 374,A. D. 260.
marginalnote 375,He is degraded from the ſee of Antioch.
marginalnote 376,A. D. 270.
marginalnote 377,The ſentence is executed by Aurelian.
marginalnote 378,A. D. 274.
marginalnote 379,Peace and proſperity of the church under Diocletian.
marginalnote 380,A. D. 284—303.
marginalnote 381,Progreſs of zeal and ſuperſtition among the Pagans.
marginalnote 382,Maximian and Galerius puniſh a few Chriſtian ſoldiers.
marginalnote 383,Galerius prevails on Diocletian to begin a general perſecution.
marginalnote 384,Demolition of the church of Nicomedia. A. D. 303. 23d Feb.
marginalnote 385,The firſt edict againſt the Chriſtians. 24th of February.
marginalnote 386,Zeal and〈…〉a Chriſtian.
marginalnote 387,Fire of the palace of Nicomedia imputed to the Chriſtians.
marginalnote 388,Execution of the firſt edict.
marginalnote 389,Demolition of the churches.
marginalnote 390,Subſequent edicts.
marginalnote 391,"General idea of the perſecution,"
marginalnote 392,In the weſtern provinces under Conſtantius and Conſtantine;
marginalnote 393,"in Italy and Africa, under Maximian and Severus;"
marginalnote 394,under Maxentius;
marginalnote 395,"in Illyricum and the Eaſt, under Galerius and Maximian."
marginalnote 396,Galerius publiſhes an edict of toleration.
marginalnote 397,Peace of the church.
marginalnote 398,Maximin prepares to renew the perſecution.
marginalnote 399,End of the perſecutions.
marginalnote 400,Probable account of the ſufferings of the martyrs and confeſſors.
marginalnote 401,Number of martyrs.
marginalnote 402,Concluſion.
